Word Combination,All Airlines,Lufthansa
flight delay,-0.21402681081081062,-0.4647727272727273
strikes,-0.2852162303664919,-0.28985
baggage claim,-0.048631838565022435,-0.34833333333333333
booking process,-0.04987941176470589,0
frequent flyer,0.05834479495268138,-0.12460000000000002
lost luggage,-0.23246107784431136,-0.16204999999999997
airline staff,0.03521071428571428,0
travel experience,-0.30382857142857167,-0.2536333333333333
flight cancellation,0.04407643979057591,0.21590000000000004
legroom,0.19289210526315778,0.3763
